path	sentence
74794b9cd627b68fb72a018b25cb6eb6223af3d17705a2fdd174d4f93fd52502703c33b7fc0dd7a7aa85787ef7ff4e02968e0fe459fa8e9fe4c12fc9c2ed8696	¿ está enamorado de ti?
baa353895ec4c3155836e6e932c940666288b78b39cc48f1472e90137d48124a69aa46aa5969015646d1808f79d494221e635e02702a9a5e69a56b0355f06de3	Siempre tiene tiempo para todo.
594e257155c40b70efafd9560d0c28f35dcda2d8d9cdffe46c16cdd042ee222eb66de45639f18fbbbad4df3d1bfc702496b1a2ee59053e559cc73047818cddd5	cornudo Consentido.
c93294fb57defe2946ce860d39d9f4119499752be84c4df773a4716159b2850f1e3025d8f5ddb5d0fc015219e37902ec696116e4cda2cb0ee345951086e8ce22	Le molestaría un poco.
bb503f7bb993dfa273118d933388006347c1dd59db6d7f1bdc5cb8002ba89db216db376f14ff7318a00397ed4917c97a8ab435d35e0f1e6a36287cf553821003	no.
2a196a135365cef1306837787a3a2543d1aed1e4a6eb59e4fb7f8eaf1c4d2b27db72b5fa33e7a2818b332f7029a7427cce7cc20da9ed3bd504461b732a41d543	muchas gracias. bienvenido .
5e3b6aae4b7315bc2e53a522fb70d0a8ad7267f1f78ad555ffac93109e1ed0189c33d3e8edf207500afe503ef47a3e6f26eacbf8ed3fba1198688fb225373fcf	¡ No, no os vayáis!
d4a5fd1acb932f9a88c46f88fecbc07e40254353d821f69756546ce29730fe513e8b5c39b0890a04eddb915b72020bb669ed01aabf6ff20106628c1c524c847b	me he quedado solo
069d8ee8c98d796d8ccfa4f256e9f9343e16aa173f019f52df472e473c7b70dc98ea40ca531acd574b18226d9f3f943c4fa0c8c5209de675119b797a926dfe91	Eso es repugnante. ¡ Asesino!
b20a4f606cfef0fbbc0dd92f3d4922447a63e9b9b9d4df1225e6d5a0823aa254c99e512c8cda1360f6b0aed90f5411f76c147337e4e6e1ab5acb5f79e801f555	una ciudad que sonríe
2c5011d1bffe142a81be47d362f12d261c57a1d097805117f288d970f559d7de902b24ce8346f79ae9e4a8c5f76bba961eb68a08759cc46a4665556d3f0c7f16	¿ es linda de veras?
b3e26072e1d391e54dfe9a9b7bfa95e856d77cfb9a4a36b11de8657e081c2080c0b170533e060abca5826819a19381c4be8f179084fb0d5ba6f68aa1eeb59635	el faro del sur
027c9b97c6005bd413c96a31fab6f30a102006c92743a108577986015c9c1d7490026d80fd5128e9c36dc693ec4436052590f7315fdec301e6d34ab86a6507d4	Mireia, ¡pásame los tapones!
38c35c4bf36925485f45acb7a5d93468984ca210575da0b91b6bea4af1422eaf8f89d1735d9c4cbd58c326e247d65a556e977da7d491d091b268a7c3a57f5642	estuviste pillada de los dos.
f0ea87edcb7d903e066ba36c128a6364270dcc75b6c69c53da74e588f2be63a0154fd49d05851d30376e8735595070a9734efa0f8cfa6ef97b5628db89d63e26	¿ la ha visto?
1b8066dd4d26c3c594938f2f3ebfcafa691d9c67772d5fe683ee9fad98d4163bcd8a99098b9c919e813deb2b3051ce41187a819ecbd537f5175dfdff2429e618	la hermana abrió.
c4835f7e86df5b503ecd59d2a014ad0b5aa124ebf8361ea98a02d252adba5ab223b5e77bfe6883861183e99a3309caff75cb3dd6e7b66e1f8408f934f0994baa	por favor, por favor.
dfa569c66b42d254e81a08806ef2e58dd16dc4bf7d7c21194640daed48a3ee6b66afe6cd6eab39fc95830bb8b81a03bc6168262aa00f5e3175b7bb3991461b35	hijo , ve pagando ...
a0962a2eb16961aebe0f451419ac1480b977514d636ce1fe789251ec42b9d48b26a7737599613c15489539659c22f5b3f00ed2eed1ee48fa448ee499c7424c6d	¡ un antiguo mayorazgo !
50ee021d2c5e3ddbc2439cb535e22057f3359affb1bb1bff6b8914d677fab11878806420e71faf763e5a1d1b3f1f8e6b1746eb3fd0981d76397b67580e9f40f1	no me jodas.
0a4ad76592a7ac618b10128f0ed1706b7c0c81c8803b85afa10de82867c5a140f85cf0af6d8fc5c8d92a978fb0daeebf12adf2365af2fabc557da92f1e6f4886	¡Andrés trajo ya el baúl!
69291600cdbb40f694d7b6477868d5a232a9c9390d0257232a2374d242d4782347129960560157050f0cd3b9f77e0bc9bb4d125d4c701e5eeecc86a2edf556fd	Me encantaría aprobar esta asignatura.
fb87b05e72592016ea59fa77b5149a5fd249a8c931914ee955192eca63bf70fc10f2fcf2eb511431d63fce85f92f9ee723ee0d73dff94c30b0958c6f48071fe1	delante de veintidós pajilleros.
92d7d7810563e2c3f342ba289f664585b64861b7358d99c65cc596f3268cbf87ce8d3fad9da5661cc9c92af67fe97b2ccf7f71bdc3bd7d40e8a1df206af8b976	llega, cálzame la espuela.
1d43a2abbea52897cf07794fb725f2991b2a4d733486c3d078263340197bc70c7eb283acea2f941f5775d4e5af4e1f63dd7d685ddd3fb8d2d473aa7918446e9d	¡ hartas leguas, señor!
10724ae31dbbe871273a044abecd63389dc2e8dfb4cf6efbcece9fadbf202c229706e2a1c3d43cee548a298ac9efd01573bd4496ede061afcfd4b49e1d317b8c	Un momento. ¡ oh, no!
03afd330a90bb3a9dd60656784f93cfa05ac93bfc437b6e7dd4fb4d6c7bbab17717d91f67946d9f5b596aff3df1d5c092862eee42c71362f4c226cd558450455	hasta nueva orden.
